Tendency,TOP1,JG1,MID1,AD1,SUP1,TOP2,JG2,MID2,AD2,SUP2,melee_number,MeanKills,killsat10,killsat15,numberofgames
33,0.0,0.125,0.5,-1.875,-1.0,0,23.0,1.75,6.0,10
30,1.75,-3.0,0.0,1.5,2.1875,1,26.0,0.0,-1.5,9
15,0.25,-1.75,0.5,2.1875,1.8125,0,23.0,-0.5,1.0,9
31,1.75,2.75,2.0,1.0,1.75,2,22.0,-1.5,2.0,9
29,0.25,0.0,0.0,1.5,1.5,2,29.5,-2.5,-3.0,9
28,2.0,2.0,0.0,0.1875,0.0,1,20.5,-2.25,-2.25,10
31,0.5,-0.25,1.5,1.6875,1.5,2,20.5,-0.25,6.75,10
25,1.75,1.5,0.5,0.9375,-1.75,1,20.5,2.75,0.75,10
23,1.0,0.125,0.75,1.3125,1.75,2,21.5,-0.5,-2.5,10
21,1.0,0.125,0.75,1.3125,1.25,1,21.5,-1.5,0.5,10
23,0.25,2.75,0.5,1.6875,2.0,0,25.5,1.25,0.0,10
31,2.25,0.125,0.0,0.5625,1.8125,1,28.0,1.5,-0.25,9
32,0.5,0.125,1.5,-0.5,0.0,1,26.25,-2.0,-6.75,9
33,1.0,2.0,1.5,1.5,1.5,1,22.0,1.5,1.25,10
13,0.0,2.75,0.0,-0.875,-3.375,0,23.75,0.0,-4.0,10
22,1.75,0.125,0.75,1.3125,0.375,2,23.75,0.0,-3.0,10
23,0.25,1.5,0.0,1.5,0.625,2,23.75,0.0,-1.0,10
16,1.0,0.125,1.5,-0.875,-3.375,0,22.25,2.5,1.0,10
23,0.75,2.0,2.0,1.25,0.375,2,22.25,3.5,5.0,10
37,1.0,0.125,0.0,1.8125,0.8125,0,25.25,-1.75,4.25,10
46,1.75,1.75,1.5,1.5,0.75,2,25.25,5.25,11.25,10
29,0.0,-0.625,0.75,0.625,2.1875,0,23.75,0.25,-1.5,10
22,0.0,-0.625,0.75,0.625,1.75,1,23.75,-2.75,-4.5,10
29,1.75,2.0,0.0,1.3125,0.875,1,22.5,0.25,4.75,10
26,1.75,2.0,1.5,1.3125,1.25,2,22.5,6.25,4.75,10
37,0.25,-0.25,0.0,-0.5,-2.25,0,25.25,-1.25,5.0,10
19,0.25,-0.625,2.0,1.5,0.5,0,25.25,-1.25,-2.0,10
13,0.25,0.125,0.75,-1.875,-2.25,1,24.75,1.75,2.25,10
22,0.25,2.75,1.75,-0.375,1.125,2,22.75,0.75,3.0,10
30,1.75,1.75,2.0,0.9375,0.875,2,28.75,-1.25,0.25,10
30,1.75,0.125,2.5,2.1875,1.0,2,26.25,0.0,-2.0,10
13,0.75,1.0,0.0,-1.9375,-3.375,0,26.0,-2.25,-4.0,10
23,0.0,-0.25,1.5,-0.5,-1.0,-2,26.0,0.75,2.0,10
26,0.0,2.75,0.0,0.5,0.1875,0,23.75,-2.0,-5.5,10
25,1.75,2.0,0.0,0.5,0.75,1,23.75,1.0,4.5,10
21,0.75,1.75,1.5,0.9375,0.5625,2,24.25,-0.75,-2.0,10
43,0.25,-0.25,1.5,1.5,1.0,1,24.25,1.0,1.0,10
22,0.0,1.0,1.5,-0.1875,1.125,2,23.75,0.0,-3.25,10
24,0.25,2.75,0.75,-0.3125,1.625,2,30.5,3.0,3.75,10
21,0.25,1.5,0.0,1.6875,1.8125,1,25.0,1.0,-1.5,10
28,0.0,1.75,2.0,0.875,-1.375,1,25.0,1.0,3.5,10
27,0.0,1.75,1.5,0.9375,1.75,2,25.0,4.0,3.5,10
22,0.0,1.0,2.0,1.25,1.3125,2,24.5,1.0,-1.5,10
21,1.75,-0.5,0.75,2.1875,0.0625,1,24.5,0.0,-0.5,10
14,0.25,-0.25,0.0,-0.5,1.75,0,24.5,-1.0,-3.5,10
21,0.0,1.75,2.0,1.3125,0.625,2,24.5,0.75,-1.5,10
27,0.25,-3.0,0.0,1.6875,1.25,1,27.75,1.25,0.75,10
37,0.25,1.5,2.5,-0.1875,0.0,-1,24.75,-2.25,-3.0,10
28,0.25,-0.625,0.0,2.1875,1.5,0,24.25,1.5,0.5,10
15,1.75,-0.5,0.0,0.875,1.5,2,24.5,1.5,-2.5,10
20,0.5,2.0,2.0,1.6875,0.375,1,23.5,0.75,-0.75,10
25,1.75,1.0,0.0,1.6875,0.0,2,23.5,-0.25,0.25,10
26,0.0,2.0,2.0,1.3125,2.0,1,23.5,-0.25,-1.75,10
20,0.25,-0.5,0.75,-0.5,-2.25,0,22.75,-0.5,-1.0,10
35,0.5,2.0,3.375,-2.0,-1.0,0,22.75,-1.5,0.0,10
23,2.0,-0.5,-0.5,1.3125,0.875,2,22.5,-0.75,0.5,10
17,0.0,1.5,0.75,1.6875,1.9375,1,22.5,1.25,1.5,10
25,0.25,2.0,0.0,1.5,1.5,1,25.25,0.75,6.75,10
48,1.75,1.5,0.75,1.5,2.0,2,25.25,4.75,11.75,10
19,1.75,1.5,0.0,1.5,1.5,1,25.75,1.5,1.0,10
29,1.75,1.5,2.0,-1.9375,-3.375,-1,25.75,-0.5,1.0,10
23,0.25,1.5,2.0,2.0,1.25,3,25.75,2.5,7.0,10
15,2.0,2.0,0.0,1.5,0.5,2,23.25,-2.25,-4.5,10
